"Date,AZN,DGE,BAE,BARC,BP,HSBC,LLOYDS,RR,SHEL,ULVR"
"31/12/2019,49.86,3205,566.8,180.24,478.5,596.3,63.12,236.03,58.98,4373"
"02/01/2020,50.39,3200.5,564.8,179.64,471.6,591.9,62.5,234.45,59.74,4350.5"
"03/01/2020,50.09,3183,574,185.2,480.85,595.1,63.71,233.77,60.21,4347"
"06/01/2020,49.88,3189.5,580.8,183.3,494.05,594.4,63.05,232.6,60.96,4357"
"07/01/2020,50.07,3183.5,588.6,180.98,504.1,585.2,63.25,232.32,60.4,4324.5"
"08/01/2020,49.95,3184.5,590.2,183.14,498.8,583.4,63.11,229.3,59.69,4287.5"
"09/01/2020,50.08,3208.5,592,182.04,494.3,581.3,62.79,228.41,59.68,4240"
"10/01/2020,49.85,3245.5,593,182.86,492.05,588.1,61.85,235.21,59.01,4281"
"13/01/2020,49.67,3245,592.8,181,495.25,584.6,60.33,234.25,58.96,4304.5"
"14/01/2020,50.18,3232.5,614,181.68,497.1,590.8,58.74,231.84,58.92,4343"
"15/01/2020,50.8,3231,612.2,181,495.9,590.4,58.75,231.16,58.82,4319.5"
"16/01/2020,50.51,3276,613,178.5,495.2,589.8,57.81,232.26,58.77,4352"
"17/01/2020,51.33,3250.5,615.6,176.8,497.85,590.9,57.9,232.46,58.54,4354"
"21/01/2020,50.8,3281,624.6,175.24,496.4,594,58.45,231.91,57.46,4400"
"22/01/2020,50.45,3272.5,647.6,175,493.5,592.4,57.9,228,57.44,4400.5"
"23/01/2020,50.2,3252,645,174.4,490.35,585.6,58.5,227.86,57.4,4413"
"24/01/2020,49.28,3222,640,174.76,480.5,581.2,58.09,222.72,57.17,4387"
"27/01/2020,48.9,3217,638.6,171.5,482.15,573,57.4,223.88,56.09,4368.5"
"28/01/2020,49.6,3240,643.8,173.44,486.1,579.4,58.09,225.8,55.92,4474"
"29/01/2020,49.66,3192.5,634.8,170.68,476.95,559.1,57.11,218.46,55.73,4428.5"
"30/01/2020,49.09,3146.5,635,172.02,481.75,567.7,57.64,223.4,53.84,4500.5"
"31/01/2020,48.7,3110,640.6,172.02,477.9,566.3,57.5,231.09,52.15,4438"
"03/02/2020,48.51,3029,635.4,171.5,467.1,563,57.93,231.3,51.24,4527.5"
"04/02/2020,48.76,3010,631.4,168,456.7,551.8,56.79,229.92,51.65,4533.5"
"05/02/2020,49.73,3098,642,169.68,452.7,555.7,56.55,231.71,52.95,4580"
"06/02/2020,50.03,3140.5,648.2,172,471.55,563.7,57.5,235.21,52.14,4593.5"
"07/02/2020,49.4,3149,646,172.96,484.3,569,57.14,235.62,51.79,4636"
"10/02/2020,49.91,3202,652.8,176.72,475,573.5,56.95,238.02,51.39,4695.5"
"11/02/2020,49.78,3163.5,655,177.16,470,581.3,56.92,235.76,51.99,4696"
"12/02/2020,49.58,3134.5,648.6,176.9,464.6,578.3,56.88,237.47,52.65,4685.5"
"13/02/2020,49.33,3114,655.6,179.02,469.7,591.4,56.73,239.19,50.99,4688"
"14/02/2020,47.85,3098,656,179.34,474.6,595.4,57.44,239.87,50.49,4661.5"
"18/02/2020,49.11,3071,661.8,176.32,459.95,589.9,58.03,229.03,50.21,4612"
"19/02/2020,49.31,3079.5,643.2,175.92,456.85,584.5,56.61,232.39,50.22,4605.5"
"20/02/2020,48.94,3090,638.2,177.7,461,590.7,56.87,234.38,49.62,4630"
"21/02/2020,50.17,3107.5,637,175.08,457.5,551.9,55.88,231.64,49.17,4633"
"24/02/2020,47.59,3141,640,176.74,462.8,559,55.78,227.25,47.28,4625"
"25/02/2020,47.08,3123,656.4,181.32,466.2,559.7,56.55,228.07,45.9,4596"
"26/02/2020,47.57,3099.5,669,179.62,453.55,562.2,55.35,221.55,45.75,4593"
"27/02/2020,45.07,3012,659.6,170.02,438.25,550.8,53.11,215.65,43.94,4483"
"28/02/2020,43.8,2960,639.8,165.86,428.7,539.7,52.01,209.13,44.03,4392.5"
"02/03/2020,45.87,2933.5,641,165.94,428.4,555,51.91,211.6,44.83,4386.5"
"03/03/2020,45.52,2820,631.8,154.44,414.15,529.3,50.35,206.11,43.96,4321"
"04/03/2020,48.6,2765.5,608.4,148.74,396.15,523.9,50.2,212.76,45.3,4170"
"05/03/2020,48.38,2811.5,610.8,143.3,411.25,520.1,49.54,211.32,43.73,4320"
"06/03/2020,47.52,2820.5,612,139.56,414.95,509.8,48.67,218.19,41.87,4382.5"
"09/03/2020,45.23,2832.5,613.8,138.54,422.65,512.2,48.37,208.44,34.68,4459.5"
"10/03/2020,46.9,2806.5,609.2,134.68,416.7,506.4,47,201.51,36.96,4482"
"11/03/2020,44.58,2740,597.2,130.94,395.2,493.8,45.68,201.85,34.49,4352"
"12/03/2020,40.76,2616,554.8,118.1,318.2,470,41.24,194.99,29.33,4167.5"
"13/03/2020,42.28,2599,550.8,116.84,328.9,478.5,42.54,191.28,30.08,4078"
"16/03/2020,37.79,2552.5,539,117.94,317.15,485.5,42.12,184.49,25.32,4073.5"
"17/03/2020,40.93,2376,503.4,97.52,275,444.6,36.99,154.84,25.66,3851.5"
"18/03/2020,39.36,2442,522.8,102.38,276.3,465.85,37.89,164.72,21.62,3854.5"
"19/03/2020,40.13,2353.5,497,89.06,259.35,464.4,35.11,147.56,24.04,3726"
"20/03/2020,39.42,2338.5,482.9,87.76,259.65,494.65,35.32,133.32,25.08,4092.5"
"23/03/2020,38.78,2200,477.3,83.2,233.7,491,33.63,118.87,26.83,4103"
"24/03/2020,40.89,2400.5,496.6,83.74,240.75,500,32.38,125.36,32.11,4341"
"25/03/2020,40.38,2427.5,470,89.02,251.7,500,32.1,123.33,34.34,4138.5"
"26/03/2020,42.36,2216.5,438.9,84.7,256.9,490,30.57,115.34,34.93,3932.5"
"27/03/2020,42.47,2396,485.1,96.02,312.35,515,33.65,120.14,31.64,3997.5"
"30/03/2020,44.53,2512.5,523.6,105.78,339.4,509.9,36.73,136.24,33.44,3977.5"
"31/03/2020,44.66,2684,537.6,107.98,337,497.9,37.56,139.05,34.89,4023.5"
"01/04/2020,43.78,2512.5,516.2,97.37,305.5,466.55,34.4,125.15,35.31,3931.5"
"02/04/2020,43.76,2574.5,508.4,94,323.6,462.65,33.5,110.26,38.96,4016"
"03/04/2020,43.96,2586.5,521.8,94.11,344.2,454.25,32,116.88,36.24,4075.5"
"06/04/2020,44.31,2463,487.6,82.86,333.7,411,28.27,104.67,37.33,3994"
"07/04/2020,43.1,2468.5,498.1,81.62,353.35,397.75,28.91,95.5,37.26,4043"
"08/04/2020,43.85,2458,500,80.24,337.3,397.2,27.73,86.34,38.07,4037"
"09/04/2020,44.66,2553.5,516.6,86.56,335.85,414.7,29.94,102.16,37.91,4136"
"13/04/2020,47.36,2569,528.4,94.79,341,419.6,31.22,115.2,37.37,4163"
"14/04/2020,48.68,2522,529.2,92.65,335.35,420.45,31.86,111.94,37.01,4091"
"15/04/2020,48.03,2633,538.4,97.58,335.75,428.85,33.39,120.18,34.36,4124"
"16/04/2020,49.13,2624,528.8,93.55,321.1,427.45,31.79,115.13,32.6,4197"
"17/04/2020,50.03,2620,518.6,87,299.7,408.1,29.75,106.38,35.48,4136"
"20/04/2020,50.44,2642,526.2,87.08,291.95,405.6,29.43,106.07,33.48,4130"
"21/04/2020,50.07,2711,558.4,90.71,303.55,414.35,30.45,114.79,32.93,4115"
"22/04/2020,50.36,2699.5,548,91.01,302.3,417.95,30.12,112.35,34.86,4303"
"23/04/2020,50.39,2580.5,534.6,86.51,293.15,399.3,29.22,105.49,35.16,4200"
"24/04/2020,51.18,2658,510.4,87.7,310.75,405.6,29.92,107.27,35.03,4243"
"27/04/2020,51.48,2686,513.6,90.6,317.6,410.3,30.42,108.99,35.82,4167"
"28/04/2020,50.97,2655,505,88.61,308.6,402.15,29.74,106.45,36,4092"
"29/04/2020,50.72,2725,514,91.06,314,416.3,30.54,105.63,38.01,4102"
"30/04/2020,52.28,2763.5,512.6,97.76,322.1,420.55,33.24,109.64,33.13,4071"
"01/05/2020,51.86,2766.5,536.2,110.18,333.5,428.5,34.76,122.72,31.29,4104"
"04/05/2020,52.35,2750,508.4,105.9,313.1,410,32.24,113.25,32.75,4102"
"05/05/2020,53.47,2765.5,503,102.74,298.85,402.45,31.68,107.45,33.07,4099"
"06/05/2020,54.04,2734.5,491.5,99.68,300.6,395.6,30.6,100,32.06,4054"
"07/05/2020,52.74,2712.5,496.1,103.4,318.9,401.2,30.58,102.95,32.53,4028"
"08/05/2020,53.29,2764,490.5,100.86,313.7,401.95,30.17,100.79,33.91,4018"
"11/05/2020,53.95,2778,512.2,105.42,315.9,412.7,31.29,98.52,32.76,4083"
"12/05/2020,54.11,2831,503,102.6,313.85,411,30.42,96.98,32.21,4173"
"13/05/2020,55.31,2884,517.2,102,313.25,410.5,29.89,95.74,31.04,4229"
"14/05/2020,53.5,2822.5,505,98.01,301.65,404.6,29.01,88.5,30.17,4214"
"15/05/2020,53.41,2695.5,492.7,97.14,296.45,398.5,28.62,84.76,30.13,4109"
"18/05/2020,53.45,2743,496.5,97.45,296.5,399.7,28.5,85.69,32.82,4131"
"19/05/2020,53.57,2841.5,501,105.2,320.8,414.7,29.68,93.41,32.16,4230"
"20/05/2020,53.78,2840.5,497.3,104.72,314.15,411.5,29.58,91.83,33.45,4119"
"21/05/2020,55.28,2842.5,498.2,106.72,318.55,412.75,29.87,93.93,32.44,4167"
"22/05/2020,55.22,2827,494,103.92,311.9,398.9,28.39,97.22,32.24,4124"
"26/05/2020,53.11,2834,493.7,103.14,310,379,28.12,96.29,32.69,4115"
"27/05/2020,52.47,2860,513.4,110.78,309.95,387.65,30.08,108.03,32.98,4122"
"28/05/2020,53.5,2918.5,502.4,119.84,319.45,396.6,31.82,118.77,32.61,4200"
"29/05/2020,54.6,2954,511,122.62,313.95,384.35,31.38,109.47,31.95,4330"
"01/06/2020,55.16,2790.5,496.2,115.24,305.75,370.1,29.87,93.2,33.18,4332"
"02/06/2020,54.72,2851,498.3,120.78,311,380.4,30.86,98.32,34,4316"
"03/06/2020,55,2818.5,497,119.5,328.6,384.8,31.93,103.09,35.65,4308"
"04/06/2020,53.87,2894,513.4,125.32,339.3,401.8,33.76,112.63,35.57,4399"
"05/06/2020,53.85,2882,511.2,123.52,336.2,399.4,33.88,111.19,37.77,4400"
"08/06/2020,52.58,2900,514.4,131.4,362.25,422.95,35.54,122.13,39.29,4409"
"09/06/2020,52.73,2884,523.8,131.8,365.75,420.75,36.88,136.72,37.26,4394"
"10/06/2020,53.64,2843,530.6,125.28,353.05,405.45,35.22,126.97,36.25,4334"
"11/06/2020,51.57,2870,529,124,344.45,400.55,35.02,121.24,33.19,4378"
"12/06/2020,51.47,2774,516.6,115,320.9,376.25,32.04,110.36,34.45,4336"
"15/06/2020,52.64,2780,504.8,117.06,323.05,380.35,31.93,112.39,34.52,4304"
"16/06/2020,53.58,2725,498,116.1,316,376.2,31.53,111.12,34.97,4290"
"17/06/2020,53.9,2836,509,122.68,321.65,383.8,33.15,115.37,34.19,4418"
"18/06/2020,52.66,2838.5,506.6,119.38,316.75,382.05,32.58,113.97,34.3,4502"
"19/06/2020,53.02,2805,501,118.64,314.85,381.55,32.43,115.13,33.94,4507"
"22/06/2020,53.42,2900,506,116.56,321.45,391.4,32.24,114.69,34.41,4632"
"23/06/2020,54.25,2797.5,507,115.3,315.45,381.35,31.65,109.57,34.85,4540"
"24/06/2020,52.13,2800,509,116.9,321.45,387.6,32.74,109.06,33.12,4542"
"25/06/2020,53.01,2703,479.6,111.86,307.35,380.8,31.61,103.02,33.89,4480"
"26/06/2020,52.7,2685,485.8,112.62,308.6,384.35,31.62,101.37,32.91,4464"
"29/06/2020,52.91,2700,485.2,110.98,304.6,380.25,31.08,97.8,33.44,4519"
"30/06/2020,52.89,2700.5,495.7,114.5,314.9,384.8,31.25,99.38,32.69,4443"
"01/07/2020,53.32,2681.5,483.4,114.42,307.2,378.6,31.17,97.94,32.77,4355"
"02/07/2020,53.8,2697,483.3,113.54,309.35,372.3,30.7,98.01,32.9,4338"
"06/07/2020,54.1,2741.5,483.5,117.9,313.25,389.1,31.85,100.38,33.45,4421"
"07/07/2020,53.47,2690,482.2,115.72,307.55,383.5,31.03,90.32,32.63,4318"
"08/07/2020,54.19,2758,492.2,117.3,312.75,408.65,31.21,96.4,32.75,4352"
"09/07/2020,53.97,2730,489.2,114.96,308.35,395.15,30.74,95.23,31.28,4262"
"10/07/2020,53.76,2748,479.9,114.4,303.45,383.65,30.72,98.76,32.21,4249"
"13/07/2020,53.24,2701.5,477.9,111.96,290,373.3,29.74,87.95,32.41,4215"
"14/07/2020,53.98,2761.5,474.5,117.76,290.8,377.8,30.46,91.52,33.51,4193"
"15/07/2020,58,2782.5,476.4,119.56,296.65,380.8,30.64,91.9,33.98,4283"
"16/07/2020,57.43,2775,468.4,119.36,304.5,383.75,30.11,88.61,33.48,4306"
"17/07/2020,61.1,2845.5,489.4,120.3,310.25,386.1,30.39,93.41,32.91,4348"
"20/07/2020,58.68,2813.5,477.3,118.58,312.45,385.6,30.53,91.87,32.41,4311"
"21/07/2020,58.07,2816,486.2,116.4,309.3,379.55,30.57,90.73,33.43,4376"
"22/07/2020,56.98,2793,489.9,116.22,303.2,374.3,30.41,90.87,32.75,4339"
"23/07/2020,55.17,2818.5,495.4,116.64,315.95,380.95,30.5,98.01,32.39,4351"
"24/07/2020,55.8,2780,486.1,117.42,303.85,370.5,30.32,96.6,32.29,4330"
"27/07/2020,56.58,2853,493.5,116.46,299.8,367.1,30.17,93.2,32.45,4671"
"28/07/2020,56.32,2796,477.9,113.6,298.1,364.85,29.7,92,32.1,4678"
"29/07/2020,56.64,2784,478.4,111,294.4,353.1,28.9,89.22,32.41,4700"
"30/07/2020,57.89,2841.5,484.4,111.86,293.75,353.25,29.22,90.12,30.84,4689"
"31/07/2020,55.78,2876,476.9,105.02,293.8,362.3,28.37,86.86,29.81,4758"
"03/08/2020,56.82,2860,505,100.78,283.35,347.05,26.21,84.18,30.3,4653"
"04/08/2020,56.08,2801,490.2,100.56,275.15,342.2,26.29,79.48,31.35,4573"
"05/08/2020,55.95,2881,492.1,103.82,281.05,332.25,27.87,79.07,31.52,4664"
"06/08/2020,56.21,2721,513.2,105.3,299.25,336.7,28.16,84.18,31.25,4667"
"07/08/2020,55.41,2623,524.8,107.34,306.65,333.45,28.17,88.71,30.84,4663"
"10/08/2020,55.38,2575,507.8,105.84,295.25,324.95,28.16,86.86,31.45,4577"
"11/08/2020,55.18,2567,507.8,104.6,287.25,325.55,27.79,86.68,31.85,4539"
"12/08/2020,56.74,2568,517.4,106.64,295.4,331,28.42,91.18,32.87,4520"
"13/08/2020,55.8,2570,527.2,111.76,307.55,346,29.46,93.93,31.67,4485"
"14/08/2020,55.19,2663.5,536,111.5,311.3,357.1,29.69,93.14,31.11,4589"
"17/08/2020,56.46,2650,534.2,108.08,301.2,343.75,29.18,91.87,30.94,4583"
"18/08/2020,56.33,2603,534,109.2,292.65,341.3,28.95,88.23,30.54,4541"
"19/08/2020,56.23,2635,535.6,107.94,288.55,338.65,28.63,88.3,30.42,4550"
"20/08/2020,56.49,2630,538.8,108.12,283.35,332.4,28.18,87.51,30.12,4509"
"21/08/2020,55.71,2642,538,110.2,283.7,335.6,28.66,90.01,29.63,4561"
"24/08/2020,56.76,2597,528.6,107.58,276.75,328.95,28.14,87.85,30.53,4541"
"25/08/2020,57.01,2590,530,108,273.35,328.15,28.1,88.64,30.06,4509"
"26/08/2020,57,2626.5,541.6,110.4,282,338,28.6,89.74,30.03,4581"
"27/08/2020,56.11,2600,537.2,109.14,274.7,334.75,28.2,88.26,29.78,4548"
"28/08/2020,55.69,2548,530.8,110.4,270.75,331.6,28.48,86.82,30.19,4546"
"31/08/2020,56,2541,527.2,110.54,267.25,328.05,28.2,85.79,29.68,4565"
"01/09/2020,55.38,2509.5,519.6,111.96,264.2,330.15,28.35,82.74,29.2,4460"
"02/09/2020,55.9,2440,501.2,105.9,259.7,317,26.94,70.93,29.04,4426"
"03/09/2020,54.16,2530,514,103.5,258,320.45,27.01,74.67,28.94,4533"
"04/09/2020,53.58,2523,510,105.56,259.75,317.25,26.88,74.91,28.91,4517"
"08/09/2020,54.71,2496.5,503.8,106.88,257.5,319.75,26.94,74.64,28.03,4426"
"09/09/2020,53.64,2543.5,518.8,106.94,266.65,323.15,26.97,77.38,28.52,4518"
"10/09/2020,53.07,2600.5,513.2,104.28,258.5,321.3,26.46,75.12,27.87,4568"
"11/09/2020,53.73,2646,514.6,104.88,262.25,327.7,26.48,72.31,28.08,4743"
"14/09/2020,54.02,2634,507.8,105.04,262.25,324.65,26.42,71.48,27.72,4784"
"15/09/2020,55.28,2632,508,102.62,262.05,322.9,25.88,72.07,27.84,4832"
"16/09/2020,55.13,2631,520.2,103.62,257.1,322.1,26.37,72.17,28.05,4803"
"17/09/2020,55.94,2658,531.2,102.64,259,322.8,26.16,69.77,27.6,4852"
"18/09/2020,56.45,2630.5,524.8,102.96,255.9,317,26.58,66.01,26.98,4803"
"21/09/2020,55.91,2609,527.6,100.54,252.15,310.8,26.25,65.17,26.31,4820"
"22/09/2020,55.44,2568.5,528.4,97.42,245.75,304,25.24,61.82,26.64,4740"
"23/09/2020,55.66,2486.5,500.2,92.16,236.05,288,23.98,55.15,26.12,4660"
"24/09/2020,54.17,2498,498.7,91.97,242,287.1,24.29,55.15,26.54,4735"
"25/09/2020,55.51,2512.5,499.5,92.9,239.2,290.25,24.58,55.73,25.74,4779"
"28/09/2020,54.75,2509,489.4,92.87,232.4,286.7,24.58,51.51,26.09,4728"
"29/09/2020,55.11,2521.5,492.8,91.55,233.3,283.35,24.72,53.11,25.65,4763"
"30/09/2020,54.8,2675,493.9,98,234.45,308.55,26.59,51.22,25.17,4811"
"01/10/2020,54.3,2644.5,488.1,97.25,229.3,298.5,26.13,48.18,24.24,4805"
"02/10/2020,54.22,2650,482,97.61,225.2,301.5,26.36,44.61,24.6,4776"
"05/10/2020,54.49,2670.5,486.4,98,218.2,304.6,26.53,40.08,25.41,4805"
"06/10/2020,53.71,2683,493.2,97.71,214.4,308.2,27.2,38.98,25.3,4842"
"07/10/2020,53.53,2681.5,495.1,99.45,217.8,309.35,26.99,42.35,25.59,4840"
"08/10/2020,54.09,2680,496.9,104.18,220.35,314.3,27.96,51.48,26.44,4794"
"09/10/2020,54.72,2698,493.5,104.5,215.85,315.4,27.9,53.76,26.66,4800"
"12/10/2020,55.27,2706.5,492.7,107.1,220.85,314.1,28.38,67.04,26.3,4813"
"13/10/2020,54.48,2699,498.3,107.28,222.1,309.4,28.23,76.6,25.82,4847"
"14/10/2020,53.19,2690,490.3,105.84,217.75,308.2,28.07,66.87,25.79,4851"
"15/10/2020,52.55,2700.5,483.1,102.1,213.15,305.2,26.87,62.83,25.37,4874"
"16/10/2020,53.03,2682.5,478.8,101.54,212.65,296.6,26.96,61.77,25.27,4892"
"19/10/2020,52.44,2627,474.4,100.12,206.45,299.25,26.59,66.95,25.04,4825"
"20/10/2020,52.19,2654.5,483.4,101.8,209.4,306.35,27.01,76.15,25.32,4866"
"21/10/2020,51.57,2626.5,482.1,103.36,207.75,309.25,27.12,75.5,24.83,4802"
"22/10/2020,51.96,2630.5,479.4,104.32,205.95,308.55,27.17,77.9,25.45,4836"
"23/10/2020,52,2561,464.9,102.72,199.96,302.4,27.17,77.08,25.61,4703"
"26/10/2020,53.07,2590.5,442.3,104.28,201.4,306.95,27.92,77.86,24.83,4721"
"27/10/2020,52.48,2628.5,458,111.54,205.5,321.4,29.29,83.63,24.19,4694"
"28/10/2020,50.98,2600,447.8,110.52,200,319.35,29.05,77.59,23.1,4646"
"29/10/2020,51.07,2603.5,431.9,106.6,195.74,330.1,28.33,75.15,24.63,4689"
"30/10/2020,50.16,2535,413.6,103.8,193.44,319,27.65,84.54,25.55,4541"
"02/11/2020,50.62,2499,405.4,104.66,193.46,324,28.28,72.4,26.67,4463"
"03/11/2020,51.7,2499,397,106.56,196.6,324.55,28.03,71.32,26.87,4404"
"04/11/2020,55.04,2507,412.9,107.04,205.2,332.65,27.83,76.56,26.9,4479"
"05/11/2020,55.16,2557.5,430,113.36,209.95,346.85,29.25,84,26.84,4553"
"06/11/2020,55.52,2649,442.2,110.38,208.75,332.45,28.52,83.9,26.67,4663"
"09/11/2020,54.05,2658,431.7,110.16,200.65,336.15,27.71,74.52,30.23,4668"
"10/11/2020,56.57,2642,430.5,110.94,199.86,337.8,27.37,69.56,31.76,4689"
"11/11/2020,58.02,2902,441.9,128.54,229.95,374,30.78,100,31.39,4718"
"12/11/2020,56.84,2976.5,463.6,134.4,241.7,373.95,32.13,107,30.63,4681"
"13/11/2020,57.38,2966.5,475.4,135.52,243.05,387.6,33.38,98.42,31.21,4783"
"16/11/2020,56.29,2950,471,132.36,237.8,372.5,33.47,90,33.2,4797"
"17/11/2020,54.96,2904,471.2,134.16,236.9,372.7,34.72,93.7,33.75,4749"
"18/11/2020,53.99,3037.5,486.8,138.78,250.75,388.8,35.59,103,32.99,4642"
"19/11/2020,54.03,2995.5,495.2,138.4,251.7,376.6,35.6,102.7,33.18,4565"
"20/11/2020,55.3,2977,499.1,141.6,251.95,384.8,35.67,102.6,33.66,4522"
"23/11/2020,54.7,2979.5,507.8,138.94,243.75,383.85,35.65,98.56,35.21,4463"
"24/11/2020,53.57,2952,521,137.76,244.4,380.9,35.81,99.44,37.11,4456"
"25/11/2020,52.6,2918.5,524.2,140.2,253.45,384,37.2,107,36.34,4367"
"27/11/2020,52.61,2903,526.6,150.2,274.8,399.65,39.5,115.75,36.27,4340"
"30/11/2020,52.94,2944,516.6,143.4,267.55,398.3,38.13,110.9,33.84,4560"
"01/12/2020,52.98,2928.5,510.6,141.1,263.5,397.85,37.32,108.3,35.06,4582"
"02/12/2020,53.39,2933,504.2,139.5,262.9,404.85,37.29,107.65,36.39,4586"
"03/12/2020,52.78,2880,504,134.56,247.65,388.25,35.62,105.7,36.71,4571"
"04/12/2020,53.74,2926.5,509.2,143.24,255.05,406.1,38.28,112.1,38.23,4434"
"07/12/2020,54.26,2923.5,516.8,146.94,267.15,418.35,38.74,116.75,37.42,4399"
"08/12/2020,54.72,2895,531.4,148.56,266.5,421.35,39.2,134.9,37.39,4283"
"09/12/2020,54.04,2932.5,521.6,148.62,276.95,422.65,39.03,130.25,37.58,4326"
"10/12/2020,53.89,2975.5,516.6,146.26,273.8,411.55,37.33,130.85,38.42,4335"
"11/12/2020,54.27,2942.5,512.8,146.36,272.6,400.4,37.2,126.25,37.81,4354"
"14/12/2020,50.03,2958.5,515.4,145.9,272.6,403,37.25,129.65,36.42,4352"
"15/12/2020,50.83,3002,511.2,141.76,284.75,403.15,35.67,127,37.58,4395"
"16/12/2020,50.93,3008.5,502.6,136.06,275.25,400.6,34.07,117,37.83,4420"
"17/12/2020,50.79,2994,504,142.36,269.75,403.4,35.73,118.75,38.1,4363"
"18/12/2020,50.21,2939,502,144.7,270.75,402.65,36.65,115.3,37.3,4302"
"21/12/2020,49.68,2951.5,504,144.2,272.6,397,36.28,114.8,35.54,4381"
"22/12/2020,48.73,2938.5,493.8,145.54,269.35,394.75,36.22,112.45,34.94,4330"
"23/12/2020,48.77,2949,492.2,145,271.35,387.75,34.9,113.95,35.94,4348"
"24/12/2020,48.52,2928,490.4,141.26,258.05,381.1,33.58,110.25,35.83,4293"
"28/12/2020,49.38,2968.5,494.2,145.98,258.55,383.8,34.7,112.65,35.9,4342"
"29/12/2020,49.9,2932.5,501.2,151.82,265.75,385.8,37.13,115.6,36.14,4311"
"30/12/2020,50.18,2914,504,154.6,263,386,38.61,115.75,36.03,4310"
